study,treatment,responders,sampleSize,rob,ind
Anstee QM 2024,Cenicriviroc,192,859,1,1
Anstee QM 2024,Placebo,109,429,1,1
Friedman SL; Ratziu V 2018,Cenicriviroc,29,145,1,1
Friedman SL; Ratziu V 2018,Placebo,15,144,1,1
Harrison SA 2021a,Aldafermin,19,50,1,1
Harrison SA 2021a,Placebo,4,22,1,1
Harrison SA 2022,Aldafermin,27,107,1,1
Harrison SA 2022,Placebo,7,36,1,1
Harrison SA 2021b,Efruxifermin,18,40,3,1
Harrison SA 2021b,Placebo,0,2,3,1
Harrison SA 2023a,Efruxifermin,29,85,1,1
Harrison SA 2023a,Placebo,8,43,1,1
Loomba R 2023a,Pegbelfermin,23,148,2,1
Loomba R 2023a,Placebo,4,49,2,1
Loomba R 2023b,Pegozafermin,34,131,1,1
Loomba R 2023b,Placebo,4,61,1,1
Sanyal A 2023-C,Tropifexor,19,73,3,1
Sanyal A 2023-C,Placebo,9,42,3,1
Neuschwander-Tetri BA 2015,Obeticholic acid,36,102,1,1
Neuschwander-Tetri BA 2015,Placebo,19,98,1,1
Younossi ZM; Ratziu V 2019,Obeticholic acid,126,620,2,1
Younossi ZM; Ratziu V 2019,Placebo,37,311,2,1
Newsome PN 2021,Semaglutide,71,172,1,1
Newsome PN 2021,Placebo,19,58,1,1
Francque SM 2021,Lanifibranor,68,166,1,1
Francque SM 2021,Placebo,23,81,1,1
Siddiqui MS 2021,Saroglitazar,6,13,3,1
Siddiqui MS 2021,Placebo,0,3,3,1
Harrison SA 2020,MSDC-0602K,68,252,2,1
Harrison SA 2020,Placebo,16,74,2,1
Harrison SA 2023b,PXL065,27,69,2,1
Harrison SA 2023b,Placebo,4,23,2,1
Harrison SA 2019,Resmetirom,21,73,1,1
Harrison SA 2019,Placebo,8,34,1,1
Harrison SA 2024,Resmetirom,159,637,1,1
Harrison SA 2024,Placebo,45,318,1,1
Bril F 2019,Vitamin E,19,36,1,1
Bril F 2019,Vitamin E + Pioglitazone,19,37,1,1
Bril F 2019,Placebo,10,30,1,1
Cusi K 2016,Pioglitazone,20,50,1,1
Cusi K 2016,Placebo,13,51,1,1
