study,treatment,responders,sampleSize,rob,ind
Friedman SL; Ratziu V 2018,Cenicriviroc,24,123,1,1
Friedman SL; Ratziu V 2018,Placebo,31,123,1,1
Harrison SA 2021a,Aldafermin,35,50,1,1
Harrison SA 2021a,Placebo,4,22,1,1
Loomba R 2023a,Pegbelfermin,34,148,2,1
Loomba R 2023a,Placebo,2,49,2,1
Neuschwander-Tetri BA 2015,Obeticholic acid,62,102,1,1
Neuschwander-Tetri BA 2015,Placebo,37,98,1,1
Younossi ZM; Ratziu V 2019,Obeticholic acid,254,620,1,1
Younossi ZM; Ratziu V 2019,Placebo,118,311,1,1
Armstrong MJ 2016,Liraglutide,19,23,1,1
Armstrong MJ 2016,Placebo,10,22,1,1
Newsome PN 2021,Semaglutide,141,240,1,1
Newsome PN 2021,Placebo,21,80,1,1
Francque SM 2021,Lanifibranor,100,166,1,1
Francque SM 2021,Placebo,21,81,1,1
Ratziu V 2016,Elafibranor,38,182,1,1
Ratziu V 2016,Placebo,15,92,1,1
Cusi K 2016,Pioglitazone,35,40,1,1
Cusi K 2016,Placebo,13,42,1,1
Harrison SA 2023b,PXL065,29,69,2,1
Harrison SA 2023b,Placebo,4,23,2,1
Ratziu V 2008,Rosiglitazone,15,32,1,1
Ratziu V 2008,Placebo,5,31,1,1
Sanyal A 2010,Pioglitazone,55,80,1,1
Sanyal A 2010,Vitamin E,45,84,1,1
Sanyal A 2010,Placebo,26,83,1,1
Harrison SA 2019,Resmetirom,35,61,1,1
Harrison SA 2019,Placebo,11,27,1,1
Harrison SA 2024,Resmetirom,411,637,1,1
Harrison SA 2024,Placebo,99,318,1,1
Bril F 2019,Vitamin E,24,36,1,1
Bril F 2019,Vitamin E + Pioglitazone,32,37,1,1
Bril F 2019,Placebo,15,32,1,1
Anstee QM 2023,Tropifexor,13,30,2,1
Anstee QM 2023,Cenicriviroc,3,37,2,1
Anstee QM 2023,Tropifexor + Cenicriviroc,15,77,2,1
