Comparison,Number of studies,Within-study bias,Reporting bias,Indirectness,Imprecision,Heterogeneity,Incoherence,Confidence rating
Aldafermin:Placebo,1,No concerns,Low risk,No concerns,No concerns,Some concerns,No concerns,Moderate
Cenicriviroc:Placebo,1,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Cenicriviroc:Tropifexor,1,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Cenicriviroc:Tropifexor + Cenicriviroc,1,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Efruxifermin:Placebo,1,Major concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Elafibranor:Placebo,1,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Lanifibranor:Placebo,1,No concerns,Low risk,No concerns,No concerns,Major concerns,No concerns,Low
Liraglutide:Placebo,1,No concerns,Low risk,No concerns,Some concerns,Some concerns,No concerns,Low
Obeticholic acid:Placebo,2,No concerns,Low risk,No concerns,No concerns,Major concerns,No concerns,Low
Placebo:PXL065,1,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Pegbelfermin:Placebo,1,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Pioglitazone:Placebo,3,No concerns,Low risk,No concerns,No concerns,Some concerns,No concerns,Moderate
Pioglitazone:Vitamin E,1,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Placebo:Resmetirom,2,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High
Placebo:Rosiglitazone,1,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Placebo:Semaglutide,1,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High
Placebo:Vitamin E,2,No concerns,Low risk,No concerns,No concerns,Some concerns,No concerns,Moderate
Placebo:Vitamin E + Pioglitazone,1,No concerns,Low risk,No concerns,No concerns,Some concerns,No concerns,Moderate
Tropifexor:Tropifexor + Cenicriviroc,1,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Vitamin E:Vitamin E + Pioglitazone,1,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Aldafermin:Cenicriviroc,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High
Aldafermin:Efruxifermin,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Aldafermin:Elafibranor,0,No concerns,Low risk,No concerns,No concerns,Major concerns,No concerns,Low
Aldafermin:Lanifibranor,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Aldafermin:Liraglutide,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Aldafermin:Obeticholic acid,0,No concerns,Low risk,No concerns,Some concerns,Some concerns,No concerns,Low
Aldafermin:PXL065,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Aldafermin:Pegbelfermin,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Aldafermin:Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Aldafermin:Resmetirom,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Aldafermin:Rosiglitazone,0,No concerns,Low risk,No concerns,Some concerns,Some concerns,No concerns,Low
Aldafermin:Semaglutide,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Aldafermin:Tropifexor,0,No concerns,Low risk,No concerns,No concerns,Major concerns,No concerns,Low
Aldafermin:Tropifexor + Cenicriviroc,0,No concerns,Low risk,No concerns,No concerns,Major concerns,No concerns,Low
Aldafermin:Vitamin E,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Aldafermin:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Cenicriviroc:Efruxifermin,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Cenicriviroc:Elafibranor,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Cenicriviroc:Lanifibranor,0,No concerns,Low risk,No concerns,No concerns,Major concerns,No concerns,Low
Cenicriviroc:Liraglutide,0,No concerns,Low risk,No concerns,No concerns,Major concerns,No concerns,Low
Cenicriviroc:Obeticholic acid,0,No concerns,Low risk,No concerns,No concerns,Major concerns,No concerns,Low
Cenicriviroc:PXL065,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Cenicriviroc:Pegbelfermin,0,Some concerns,Low risk,No concerns,Some concerns,Some concerns,No concerns,Very low
Cenicriviroc:Pioglitazone,0,No concerns,Low risk,No concerns,No concerns,Some concerns,No concerns,Moderate
Cenicriviroc:Resmetirom,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High
Cenicriviroc:Rosiglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Cenicriviroc:Semaglutide,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High
Cenicriviroc:Vitamin E,0,No concerns,Low risk,No concerns,No concerns,Some concerns,No concerns,Moderate
Cenicriviroc:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,No concerns,Some concerns,No concerns,Moderate
Efruxifermin:Elafibranor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Efruxifermin:Lanifibranor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Efruxifermin:Liraglutide,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Efruxifermin:Obeticholic acid,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Efruxifermin:PXL065,0,Major concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Efruxifermin:Pegbelfermin,0,Major concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Efruxifermin:Pioglitazone,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Efruxifermin:Resmetirom,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Efruxifermin:Rosiglitazone,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Efruxifermin:Semaglutide,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Efruxifermin:Tropifexor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Efruxifermin:Tropifexor + Cenicriviroc,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Efruxifermin:Vitamin E,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Efruxifermin:Vitamin E + Pioglitazone,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Elafibranor:Lanifibranor,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Elafibranor:Liraglutide,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Elafibranor:Obeticholic acid,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Elafibranor:PXL065,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Elafibranor:Pegbelfermin,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Elafibranor:Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Elafibranor:Resmetirom,0,No concerns,Low risk,No concerns,Some concerns,Some concerns,No concerns,Low
Elafibranor:Rosiglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Elafibranor:Semaglutide,0,No concerns,Low risk,No concerns,Some concerns,Some concerns,No concerns,Low
Elafibranor:Tropifexor,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Elafibranor:Tropifexor + Cenicriviroc,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Elafibranor:Vitamin E,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Elafibranor:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Lanifibranor:Liraglutide,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Lanifibranor:Obeticholic acid,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Lanifibranor:PXL065,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Lanifibranor:Pegbelfermin,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Lanifibranor:Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Lanifibranor:Resmetirom,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Lanifibranor:Rosiglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Lanifibranor:Semaglutide,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Lanifibranor:Tropifexor,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Lanifibranor:Tropifexor + Cenicriviroc,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Lanifibranor:Vitamin E,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Lanifibranor:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Liraglutide:Obeticholic acid,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Liraglutide:PXL065,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Liraglutide:Pegbelfermin,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Liraglutide:Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Liraglutide:Resmetirom,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Liraglutide:Rosiglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Liraglutide:Semaglutide,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Liraglutide:Tropifexor,0,No concerns,Low risk,No concerns,Some concerns,Some concerns,No concerns,Low
Liraglutide:Tropifexor + Cenicriviroc,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Liraglutide:Vitamin E,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Liraglutide:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Obeticholic acid:PXL065,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Obeticholic acid:Pegbelfermin,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Obeticholic acid:Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Obeticholic acid:Resmetirom,0,No concerns,Low risk,No concerns,No concerns,Major concerns,No concerns,Low
Obeticholic acid:Rosiglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Obeticholic acid:Semaglutide,0,No concerns,Low risk,No concerns,Some concerns,Some concerns,No concerns,Low
Obeticholic acid:Tropifexor,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Obeticholic acid:Tropifexor + Cenicriviroc,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Obeticholic acid:Vitamin E,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Obeticholic acid:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Pegbelfermin:PXL065,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Pioglitazone:PXL065,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
PXL065:Resmetirom,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
PXL065:Rosiglitazone,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
PXL065:Semaglutide,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
PXL065:Tropifexor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
PXL065:Tropifexor + Cenicriviroc,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
PXL065:Vitamin E,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
PXL065:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Pegbelfermin:Pioglitazone,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Pegbelfermin:Resmetirom,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Pegbelfermin:Rosiglitazone,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Pegbelfermin:Semaglutide,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Pegbelfermin:Tropifexor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Pegbelfermin:Tropifexor + Cenicriviroc,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Pegbelfermin:Vitamin E,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Pegbelfermin:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Pioglitazone:Resmetirom,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Pioglitazone:Rosiglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Pioglitazone:Semaglutide,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Pioglitazone:Tropifexor,0,No concerns,Low risk,No concerns,Some concerns,Some concerns,No concerns,Low
Pioglitazone:Tropifexor + Cenicriviroc,0,No concerns,Low risk,No concerns,Some concerns,Some concerns,No concerns,Low
Pioglitazone:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Placebo:Tropifexor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Placebo:Tropifexor + Cenicriviroc,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Resmetirom:Rosiglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Resmetirom:Semaglutide,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Resmetirom:Tropifexor,0,No concerns,Low risk,No concerns,No concerns,Major concerns,No concerns,Low
Resmetirom:Tropifexor + Cenicriviroc,0,No concerns,Low risk,No concerns,No concerns,Major concerns,No concerns,Low
