Comparison,Number of studies,Within-study bias,Reporting bias,Indirectness,Imprecision,Heterogeneity,Incoherence,Confidence rating
Aldafermin:Placebo,2,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Cenicriviroc:Placebo,2,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Efruxifermin:Placebo,2,No concerns,Low risk,No concerns,Some concerns,Some concerns,Major concerns,Low
Lanifibranor:Placebo,1,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
MSDC-0602K:Placebo,1,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Obeticholic acid:Placebo,2,Some concerns,Low risk,No concerns,No concerns,Major concerns,Major concerns,Very low
Placebo:PXL065,1,Some concerns,Low risk,No concerns,Some concerns,Some concerns,Major concerns,Very low
Pegbelfermin:Placebo,1,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Pegozafermin:Placebo,1,No concerns,Low risk,No concerns,No concerns,Major concerns,Major concerns,Low
Pioglitazone:Placebo,1,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Placebo:Resmetirom,2,No concerns,Low risk,No concerns,No concerns,Major concerns,Major concerns,Low
Placebo:Saroglitazar,1,Major concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Placebo:Semaglutide,1,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Placebo:Tropifexor,1,Major concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Placebo:Vitamin E,1,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Placebo:Vitamin E + Pioglitazone,1,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Vitamin E:Vitamin E + Pioglitazone,1,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Aldafermin:Cenicriviroc,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Aldafermin:Efruxifermin,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Aldafermin:Lanifibranor,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Aldafermin:MSDC-0602K,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Aldafermin:Obeticholic acid,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Aldafermin:PXL065,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Aldafermin:Pegbelfermin,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Aldafermin:Pegozafermin,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Aldafermin:Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Aldafermin:Resmetirom,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Aldafermin:Saroglitazar,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Aldafermin:Semaglutide,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Aldafermin:Tropifexor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Aldafermin:Vitamin E,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Aldafermin:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Cenicriviroc:Efruxifermin,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Cenicriviroc:Lanifibranor,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Cenicriviroc:MSDC-0602K,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Cenicriviroc:Obeticholic acid,0,No concerns,Low risk,No concerns,Some concerns,Some concerns,Major concerns,Low
Cenicriviroc:PXL065,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Cenicriviroc:Pegbelfermin,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Cenicriviroc:Pegozafermin,0,No concerns,Low risk,No concerns,No concerns,Major concerns,Major concerns,Low
Cenicriviroc:Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Cenicriviroc:Resmetirom,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Cenicriviroc:Saroglitazar,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Cenicriviroc:Semaglutide,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
