Comparison,Number of studies,Within-study bias,Reporting bias,Indirectness,Imprecision,Heterogeneity,Incoherence,Confidence rating
Aldafermin:Placebo,3,No concerns,Low risk,No concerns,No concerns,Major concerns,Major concerns,Low
Cenicriviroc:Tropifexor,1,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Cenicriviroc:Tropifexor + Cenicriviroc,1,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Cilofexor:Placebo,1,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Efruxifermin:Placebo,2,Some concerns,Low risk,No concerns,No concerns,Some concerns,Major concerns,Low
MET409:Placebo,1,No concerns,Low risk,No concerns,No concerns,Major concerns,Major concerns,Low
Placebo:PXL065,1,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Pegbelfermin:Placebo,2,Some concerns,Low risk,No concerns,Some concerns,Some concerns,Major concerns,Very low
Pegozafermin:Placebo,2,Some concerns,Low risk,No concerns,No concerns,Major concerns,Major concerns,Very low
Placebo:Resmetirom,1,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Placebo:Saroglitazar,1,Major concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Placebo:Tropifexor,1,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Placebo:Vonafexor,1,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Tropifexor:Tropifexor + Cenicriviroc,1,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Aldafermin:Cenicriviroc,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Aldafermin:Cilofexor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Aldafermin:Efruxifermin,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Aldafermin:MET409,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Aldafermin:PXL065,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Aldafermin:Pegbelfermin,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Aldafermin:Pegozafermin,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Aldafermin:Resmetirom,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Aldafermin:Saroglitazar,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Aldafermin:Tropifexor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Aldafermin:Tropifexor + Cenicriviroc,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Aldafermin:Vonafexor,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Cenicriviroc:Cilofexor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Cenicriviroc:Efruxifermin,0,Some concerns,Low risk,No concerns,No concerns,Major concerns,Major concerns,Very low
Cenicriviroc:MET409,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Cenicriviroc:PXL065,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Cenicriviroc:Pegbelfermin,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Cenicriviroc:Pegozafermin,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Cenicriviroc:Placebo,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,High
Cenicriviroc:Resmetirom,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Cenicriviroc:Saroglitazar,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Cenicriviroc:Vonafexor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Cilofexor:Efruxifermin,0,Some concerns,Low risk,No concerns,Some concerns,Some concerns,Major concerns,Very low
Cilofexor:MET409,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Cilofexor:PXL065,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Cilofexor:Pegbelfermin,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Cilofexor:Pegozafermin,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Cilofexor:Resmetirom,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Cilofexor:Saroglitazar,0,Major concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Cilofexor:Tropifexor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Cilofexor:Tropifexor + Cenicriviroc,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Cilofexor:Vonafexor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Efruxifermin:MET409,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Efruxifermin:PXL065,0,No concerns,Low risk,No concerns,Some concerns,Some concerns,Major concerns,Low
Efruxifermin:Pegbelfermin,0,Some concerns,Low risk,No concerns,Some concerns,Some concerns,Major concerns,Very low
Efruxifermin:Pegozafermin,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Efruxifermin:Resmetirom,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Efruxifermin:Saroglitazar,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Efruxifermin:Tropifexor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Efruxifermin:Tropifexor + Cenicriviroc,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Efruxifermin:Vonafexor,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
MET409:PXL065,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
MET409:Pegbelfermin,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
MET409:Pegozafermin,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
MET409:Resmetirom,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
MET409:Saroglitazar,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
MET409:Tropifexor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
MET409:Tropifexor + Cenicriviroc,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
MET409:Vonafexor,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Pegbelfermin:PXL065,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Pegozafermin:PXL065,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
PXL065:Resmetirom,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
PXL065:Saroglitazar,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
PXL065:Tropifexor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
PXL065:Tropifexor + Cenicriviroc,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
PXL065:Vonafexor,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Pegbelfermin:Pegozafermin,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Pegbelfermin:Resmetirom,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Pegbelfermin:Saroglitazar,0,Major concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Pegbelfermin:Tropifexor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Pegbelfermin:Tropifexor + Cenicriviroc,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Pegbelfermin:Vonafexor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Pegozafermin:Resmetirom,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Pegozafermin:Saroglitazar,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Pegozafermin:Tropifexor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Pegozafermin:Tropifexor + Cenicriviroc,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Pegozafermin:Vonafexor,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Placebo:Tropifexor + Cenicriviroc,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Resmetirom:Saroglitazar,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Resmetirom:Tropifexor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Resmetirom:Tropifexor + Cenicriviroc,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Resmetirom:Vonafexor,0,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low
Saroglitazar:Tropifexor,0,Major concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Saroglitazar:Tropifexor + Cenicriviroc,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Saroglitazar:Vonafexor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Tropifexor:Vonafexor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
Tropifexor + Cenicriviroc:Vonafexor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Very low
