Comparison,Number of studies,Within-study bias,Reporting bias,Indirectness,Imprecision,Heterogeneity,Incoherence,Confidence rating
Aldafermin:Placebo,2,No concerns,Low risk,No concerns,No concerns,Some concerns,No concerns,Moderate
Cenicriviroc:Placebo,2,No concerns,Low risk,No concerns,Some concerns,No concerns,No concerns,Moderate
Cenicriviroc:Tropifexor,1,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Cenicriviroc:Tropifexor + Cenicriviroc,1,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Efruxifermin:Placebo,2,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High
Elafibranor:Placebo,1,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Lanifibranor:Placebo,1,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High
Liraglutide:Placebo,1,No concerns,Low risk,No concerns,No concerns,Some concerns,No concerns,Moderate
MSDC-0602K:Placebo,1,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Obeticholic acid:Placebo,2,Some concerns,Low risk,No concerns,No concerns,Some concerns,No concerns,Low
Placebo:PXL065,1,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Pegbelfermin:Placebo,1,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Pegozafermin:Placebo,1,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High
Pioglitazone:Placebo,3,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High
Pioglitazone:Vitamin E,1,No concerns,Low risk,No concerns,Some concerns,No concerns,No concerns,Moderate
Placebo:Resmetirom,2,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High
Placebo:Saroglitazar,1,Major concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Placebo:Semaglutide,1,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High
Placebo:Tropifexor,1,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Placebo:Vitamin E,2,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High
Placebo:Vitamin E + Pioglitazone,1,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High
Tropifexor:Tropifexor + Cenicriviroc,1,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Vitamin E:Vitamin E + Pioglitazone,1,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Aldafermin:Cenicriviroc,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High
Aldafermin:Efruxifermin,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Aldafermin:Elafibranor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Aldafermin:Lanifibranor,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Aldafermin:Liraglutide,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Aldafermin:MSDC-0602K,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Aldafermin:Obeticholic acid,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Aldafermin:PXL065,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Aldafermin:Pegbelfermin,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Aldafermin:Pegozafermin,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Aldafermin:Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Aldafermin:Resmetirom,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Aldafermin:Saroglitazar,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Aldafermin:Semaglutide,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Aldafermin:Tropifexor,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Aldafermin:Tropifexor + Cenicriviroc,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Aldafermin:Vitamin E,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Aldafermin:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Cenicriviroc:Efruxifermin,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High
Cenicriviroc:Elafibranor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Cenicriviroc:Lanifibranor,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High
Cenicriviroc:Liraglutide,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High
Cenicriviroc:MSDC-0602K,0,Some concerns,Low risk,No concerns,Some concerns,Some concerns,No concerns,Very low
Cenicriviroc:Obeticholic acid,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High
Cenicriviroc:PXL065,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Cenicriviroc:Pegbelfermin,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Cenicriviroc:Pegozafermin,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High
Cenicriviroc:Pioglitazone,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High
Cenicriviroc:Resmetirom,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High
Cenicriviroc:Saroglitazar,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Cenicriviroc:Semaglutide,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High
Cenicriviroc:Vitamin E,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High
Cenicriviroc:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High
Efruxifermin:Elafibranor,0,Some concerns,Low risk,No concerns,No concerns,Some concerns,No concerns,Low
Efruxifermin:Lanifibranor,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Efruxifermin:Liraglutide,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Efruxifermin:MSDC-0602K,0,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Low
Efruxifermin:Obeticholic acid,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High
Efruxifermin:PXL065,0,Some concerns,Low risk,No concerns,No concerns,Some concerns,No concerns,Low
Efruxifermin:Pegbelfermin,0,Some concerns,Low risk,No concerns,No concerns,Some concerns,No concerns,Low
Efruxifermin:Pegozafermin,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Efruxifermin:Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Efruxifermin:Resmetirom,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Efruxifermin:Saroglitazar,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Efruxifermin:Semaglutide,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Efruxifermin:Tropifexor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Efruxifermin:Tropifexor + Cenicriviroc,0,No concerns,Low risk,No concerns,No concerns,Some concerns,No concerns,Moderate
Efruxifermin:Vitamin E,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Efruxifermin:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Elafibranor:Lanifibranor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Elafibranor:Liraglutide,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Elafibranor:MSDC-0602K,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Elafibranor:Obeticholic acid,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Elafibranor:PXL065,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Elafibranor:Pegbelfermin,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Elafibranor:Pegozafermin,0,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate
Elafibranor:Pioglitazone,0,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate
Elafibranor:Resmetirom,0,Some concerns,Low risk,No concerns,No concerns,Some concerns,No concerns,Low
Elafibranor:Saroglitazar,0,Major concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Elafibranor:Semaglutide,0,Some concerns,Low risk,No concerns,Some concerns,No concerns,No concerns,Low
Elafibranor:Tropifexor,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Elafibranor:Tropifexor + Cenicriviroc,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Elafibranor:Vitamin E,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Elafibranor:Vitamin E + Pioglitazone,0,No concerns,Low risk,No concerns,Some concerns,Some concerns,No concerns,Low
Lanifibranor:Liraglutide,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Lanifibranor:MSDC-0602K,0,Some concerns,Low risk,No concerns,Some concerns,Some concerns,No concerns,Very low
Lanifibranor:Obeticholic acid,0,No concerns,Low risk,No concerns,Some concerns,Some concerns,No concerns,Low
Lanifibranor:PXL065,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Lanifibranor:Pegbelfermin,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Lanifibranor:Pegozafermin,0,No concerns,Low risk,No concerns,Some concerns,Some concerns,No concerns,Low
Lanifibranor:Pioglitazone,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Lanifibranor:Resmetirom,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Lanifibranor:Saroglitazar,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Very low
Lanifibranor:Semaglutide,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
Lanifibranor:Tropifexor,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low
